,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
149,mozilla-inbound,firefox,E1I2QEuERaiwXICJ37KnTA,110981,1546924433,push,19.38,3.05,287,60
150,mozilla-inbound,firefox,ZCw05s1XRMuNAKx4uV-hWA,110982,1546934135,push,67.22,4.38,2050,126
151,mozilla-inbound,firefox,Irdb5QWBS4yvdRiVi54CUg,110983,1546934466,push,25.72,3.1,519,82
152,mozilla-inbound,firefox,dOL_WZU7S1i5SviPXF8yBw,110984,1546935769,push,9.18,0.21,77,9
153,mozilla-inbound,firefox,ZjItMBDLQ5WXbf1akTk1jA,110985,1546940056,push,65.39,3.4,2004,91
154,mozilla-inbound,firefox,bECugiRyTwylD5LZGRjxgQ,110986,1546940131,push,31.16,2.45,497,47
155,mozilla-inbound,firefox,CYETjwJpR0mcnAcsq-eqwQ,110987,1546943853,push,81.96,5.89,2322,181
156,mozilla-inbound,firefox,f4KBsHcET7aRHwMw2XYlAA,110988,1546945104,push,17.63,2.37,249,25
157,mozilla-inbound,firefox,TrQN47FAQd2hhu9UCzCYlw,110989,1546948320,push,17.76,2.8,282,59
158,mozilla-inbound,firefox,K0Dcu7mHTVS2sCJgwnDNEw,110990,1546949931,push,78.15,3.85,2265,124
159,mozilla-inbound,firefox,RlQEy1VPSy2SzJa-9oZnEw,110991,1546955308,push,78.76,3.7,2243,113
160,mozilla-inbound,firefox,evyoJ4JkQgicQ4D-CSrj1w,110992,1546960912,push,65.82,3.68,2012,91
161,mozilla-inbound,firefox,RwodkkU3TX-f34IZ2sx_tA,110993,1546962530,push,18.1,2.91,289,60
162,mozilla-inbound,firefox,c7_dNdMWTW2flUl7NEniUA,110994,1546963798,push,24.73,4.28,341,78
163,mozilla-inbound,firefox,Sl9S_I1vS_qmETM_KBd6lw,110995,1546964336,push,68.17,4.46,2064,127
164,mozilla-inbound,firefox,FJUWBDUWQ3O3WKeWqNlQzQ,110996,1546965479,push,26.11,5.41,356,93
165,mozilla-inbound,firefox,AJaZHCNwS3qft0qGpdlGdg,110997,1546972564,push,71.05,4.6,2079,143
166,mozilla-inbound,firefox,e2fm5tkIQgSelF2yF6xwtg,110998,1546973078,push,32.17,2.78,480,46
167,mozilla-inbound,firefox,P5_7Pu2zRKWuEGpqiBkyLg,110999,1546975081,push,33.05,2.94,537,88
168,mozilla-inbound,firefox,Ld-if04kSUWhVp6KDOst_g,111000,1546979183,push,7.16,1.51,2012,91
169,mozilla-inbound,firefox,OPqmWCoRR8mvHPCC0Ap6QA,111001,1546980215,push,17.21,2.13,251,24
170,mozilla-inbound,firefox,DnXo7VzVR-KotRst7rar1g,111002,1546980877,push,17.54,2.99,286,59
171,mozilla-inbound,firefox,RsEB0v9NTAS-jK_0ONG77g,111003,1546981033,push,17.64,2.1,251,24
172,mozilla-inbound,firefox,GoFSFFT3S4Ss6402UtlUMA,111004,1546981103,push,17.02,2.74,286,59
173,mozilla-inbound,firefox,C4lcclDFQq2-VVMAGCdEbQ,111005,1546985572,push,80.94,4.83,2298,157
174,mozilla-inbound,firefox,edpzjC0pQkulrq6Zg9O48w,111006,1546985971,push,34.21,3.39,522,81
175,mozilla-inbound,firefox,CrM1z9RSRgakxZuxj2OSKA,111007,1546987007,push,18.93,2.92,301,59
176,mozilla-inbound,firefox,XKUXlh7aS-OAHDeWVfoNxQ,111008,1546987356,push,18.16,2.45,251,25
177,mozilla-inbound,firefox,LENKLQmOTfyIoghwBV-5Vg,111009,1546989424,push,17.22,2.47,247,24
178,mozilla-inbound,firefox,Yzklfh7iTNOI_TBWoZmVmg,111010,1546990863,push,64.49,3.91,2056,126
179,mozilla-inbound,firefox,Nbnc01MYS7C0g3Yy1-1ryg,111011,1546993917,push,16.09,2.11,249,25
180,mozilla-inbound,firefox,PxWfY0ZQStK4Mra4ihaRKA,111012,1546994078,push,16.83,2.35,247,24
181,mozilla-inbound,firefox,bIe5UmRLSmG7gXoAMPW3Fw,111013,1546995689,push,16.67,2.14,251,27
182,mozilla-inbound,firefox,E9I-upIZRz-QhDoKvyb2zg,111014,1546997526,push,16.73,2.13,247,24
183,mozilla-inbound,firefox,fHG_dLa_REa5o4tDTP0roQ,111015,1547006312,push,70.17,4.66,2091,141
184,mozilla-inbound,firefox,betpDOPVSUaR_MLzoM2ddw,111016,1547009243,push,30.46,2.16,480,46
185,mozilla-inbound,firefox,ULWY_DD2T325fgMjXdrIRA,111017,1547015041,push,64.89,4.01,2061,127
186,mozilla-inbound,firefox,OSSu7B57TeG3g9Iw759E3g,111018,1547017752,push,30.63,2.16,480,46
187,mozilla-inbound,firefox,Uix0pDiTRl68oHNLGF6AqA,111019,1547020876,push,30.34,2.23,488,46
188,mozilla-inbound,firefox,ZoUzLCH5QQ-WkiF__33IHA,111020,1547024236,push,79.57,3.55,2255,113
189,mozilla-inbound,firefox,eH8hUreoQfiDxhkVYepfKQ,111021,1547027427,push,20.09,3.16,306,60
190,mozilla-inbound,firefox,TDgf4JylT_WCqsreChyMWg,111022,1547027776,push,19.36,3.32,316,63
191,mozilla-inbound,firefox,FstQSBKFQUm2KyhyFjz-OA,111023,1547028973,push,17.58,2.75,299,59
192,mozilla-inbound,firefox,DrE-nLAWSIKCR_4VvcFcBg,111024,1547030363,push,30.91,3.02,566,94
193,mozilla-inbound,firefox,GFl2NsvuTu2jbpyEcC0gug,111025,1547031826,push,63.34,3.41,2037,93
194,mozilla-inbound,firefox,PFjlD0FQTJuf1_2ssnSdmA,111026,1547032584,push,19.37,3.18,299,59
195,mozilla-inbound,firefox,bMiE9Pz9RDWMYSGAykuTVQ,111027,1547034296,push,18.41,2.86,300,59
196,mozilla-inbound,firefox,Gib_wSDeStOjAfBRjSfxhw,111028,1547040036,push,68.5,4.66,2084,126
197,mozilla-inbound,firefox,fKcGW1Q4T3e2o0LXWR8uoA,111029,1547040649,push,24.25,4.09,346,87
198,mozilla-inbound,firefox,HIQu46yoTLG9oYmVWlpWzQ,111030,1547041201,push,67.14,4.48,2079,126
199,mozilla-inbound,firefox,PpV0Rwi1SeOavkKghMUAow,111031,1547041568,push,17.36,2.29,262,24
200,mozilla-inbound,firefox,frKDf9H2SOKaqTfBtww4pw,111032,1547042487,push,23.52,3.74,343,87
201,mozilla-inbound,firefox,XAY8YieSRlWKN0ZhAWZphg,111033,1547044738,push,17.03,2.27,264,26
202,mozilla-inbound,firefox,HmaGHSI5Q7OqcoMzCME9SA,111034,1547045409,push,21.82,2.7,321,64
203,mozilla-inbound,firefox,WA8-UYOLSQCfitezBFLUAA,111035,1547046129,push,70.51,4.44,2097,134
204,mozilla-inbound,firefox,W-LqKhpxSGygNI49olFOJg,111036,1547046429,push,21.73,2.96,308,65
205,mozilla-inbound,firefox,R2D7XFJqQeK5Mo_n2WxKiQ,111037,1547046583,push,23.34,2.73,265,26
206,mozilla-inbound,firefox,an0WWO3GSVy35VQOPLZYWQ,111038,1547050213,push,66.95,4.43,2041,126
207,mozilla-inbound,firefox,E99EkJPWSpC14GWyZ4e6Ow,111039,1547050299,push,17.99,2.34,246,24
208,mozilla-inbound,firefox,CASonyfsRMCCyhLu6eAi6g,111040,1547050708,push,72.29,5.33,2081,147
209,mozilla-inbound,firefox,KxfKE_G1RrKgCzin_5pF4w,111041,1547051084,push,18.4,2.32,244,24
210,mozilla-inbound,firefox,DbktZjpCQse-Kvv7ILCNdg,111042,1547052084,push,22.59,3.13,305,65
211,mozilla-inbound,firefox,XVZQvLxgTJmyNovWnQeC3g,111043,1547052427,push,17.25,2.28,246,24
212,mozilla-inbound,firefox,d-vmE3jvSfyswM-A7t-K6Q,111044,1547052709,push,17.2,2.22,245,24
213,mozilla-inbound,firefox,aVSU7WM_RNKJD1OnLZ1l6g,111045,1547053083,push,79.42,3.69,2239,114
214,mozilla-inbound,firefox,Rk5wM7qfRfi2rqMPMD7MsA,111046,1547054617,push,31.76,2.36,480,46
215,mozilla-inbound,firefox,H7p4lG1OQFOy4chUStHiwQ,111047,1547055656,push,17.8,2.81,284,59
216,mozilla-inbound,firefox,G68onmSRRL2PG3nh1QtcAQ,111048,1547057552,push,17.75,2.04,252,26
217,mozilla-inbound,firefox,dNoc1XNlScW9Ul0JqJH4xg,111049,1547062429,push,64.86,4.07,2045,126
218,mozilla-inbound,firefox,Ir8wdHqMQtW1IGJwJNW9nw,111050,1547063149,push,63.72,3.47,2001,91
219,mozilla-inbound,firefox,fIJGFb4dRLuHOyHwqx4m0A,111051,1547066452,push,17.21,2.33,249,25
220,mozilla-inbound,firefox,VF43LQrATu6pFHSKDTDkNQ,111052,1547070520,push,71.1,5.21,2069,131
221,mozilla-inbound,firefox,A2ZZsLlLTAK8raZ2bZHbPw,111053,1547082011,push,64.96,3.98,2051,128
222,mozilla-inbound,firefox,Ooi-GNTOSYu8ltnxFuhpvA,111055,1547093314,push,81.13,5.19,2324,182
223,mozilla-inbound,firefox,Xjt9uLZNS_-rZ5728W_ZBA,111056,1547113925,push,78.85,4.32,2298,150
224,mozilla-inbound,firefox,PS0SrG6uTde4faas1De93A,111057,1547114116,push,16.6,2.2,252,24
225,mozilla-inbound,firefox,ZnPzlhWiQYakr5IYuU05NQ,111058,1547116509,push,16.07,1.93,262,24
226,mozilla-inbound,firefox,dBoJuJHUR1iSAbfn6WzIYA,111059,1547117250,push,30.61,2.64,526,81
227,mozilla-inbound,firefox,EqTJvgzTSxi4SJkkgssDBA,111060,1547118042,push,78.47,3.55,2295,113
228,mozilla-inbound,firefox,M6r8C49mTxa__HnNHC2xBA,111061,1547126690,push,79.83,3.57,2270,125
229,mozilla-inbound,firefox,QHAmrhZoQ_ia459h117KPA,111062,1547134367,push,73.79,5.05,2096,141
230,mozilla-inbound,firefox,NDtATD8mRcmQm_e99NfWVg,111063,1547135591,push,25.02,3.43,321,72
231,mozilla-inbound,firefox,YCSUbszxRkSS-AMTfBfCTg,111064,1547137125,push,19.13,2.47,259,25
232,mozilla-inbound,firefox,CZ53x9AWSS2_La27g72GZA,111065,1547137415,push,68.8,4.38,2057,129
233,mozilla-inbound,firefox,a8VFOeWjSGq-65yx40Kw6A,111066,1547138324,push,34.24,3.14,531,86
234,mozilla-inbound,firefox,fkb4PGaCQ1WQl_OqaTGFDQ,111067,1547138990,push,24.98,3.67,322,74
235,mozilla-inbound,firefox,dCvjNqhzTY2PQWfWjT-Xvg,111068,1547141255,push,25.93,3.82,343,91
236,mozilla-inbound,firefox,UQ8dpIAbS_i52WcZtw0NEA,111069,1547142413,push,19.22,2.38,251,25
237,mozilla-inbound,firefox,Hehyc3PoRreE1BeB0MQWDQ,111070,1547146222,push,81.31,4.11,2307,154
238,mozilla-inbound,firefox,b8FcqhvAR4WZ4Li_cvO4ZA,111071,1547146268,push,32.57,2.34,485,47
239,mozilla-inbound,firefox,fBVrH_S0RhyfVVNx2mawug,111072,1547148311,push,31.58,2.21,483,46
240,mozilla-inbound,firefox,BSHaHWY3QCWdJt5K91xtlQ,111073,1547153823,push,64.63,3.6,2006,91
241,mozilla-inbound,firefox,GU7BekdcSHWXZVJVH8Dbkw,111074,1547154834,push,18.37,2.5,252,25
242,mozilla-inbound,firefox,E0ltgK8vTuGnzHzx1imiaQ,111075,1547155166,push,78.76,3.69,2239,113
243,mozilla-inbound,firefox,Nw2IkSHTTJSt-okQrHWjhA,111076,1547162301,push,64.1,3.9,2041,126
244,mozilla-inbound,firefox,S0_jryf_SpKbx8mg6buaCg,111078,1547164096,push,20.93,2.26,278,26
245,mozilla-inbound,firefox,D5WCXVpIQp2lG_IZQ1vCZg,111079,1547164993,push,18.46,2.38,247,24
